Top 50 Biomarker Candidates for Cancer Classification
============================================================
Selection Method: ANOVA F-test (SelectKBest)
Classes: BRCA, COAD, KIRC, LUAD, PRAD
============================================================

Rank  Gene Name           F-Score        P-Value        
------------------------------------------------------------
1     gene_9175           4194.49        0.00e+00       
2     gene_9176           3463.55        0.00e+00       
3     gene_220            3441.77        0.00e+00       
4     gene_219            3391.74        0.00e+00       
5     gene_18135          2772.29        0.00e+00       
6     gene_13818          2438.58        0.00e+00       
7     gene_14114          2409.07        0.00e+00       
8     gene_450            2215.24        0.00e+00       
9     gene_7964           2055.98        0.00e+00       
10    gene_3737           2046.83        0.00e+00       
11    gene_15895          2014.32        0.00e+00       
12    gene_3921           1989.21        0.00e+00       
13    gene_7421           1986.25        0.00e+00       
14    gene_6733           1984.63        0.00e+00       
15    gene_3439           1972.26        0.00e+00       
16    gene_16169          1969.44        0.00e+00       
17    gene_15898          1905.19        0.00e+00       
18    gene_1858           1851.31        0.00e+00       
19    gene_16392          1763.26        0.00e+00       
20    gene_7896           1753.18        0.00e+00       
21    gene_1510           1735.74        0.00e+00       
22    gene_13976          1728.64        0.00e+00       
23    gene_203            1722.20        0.00e+00       
24    gene_3523           1718.63        0.00e+00       
25    gene_19153          1715.41        0.00e+00       
26    gene_12995          1712.69        0.00e+00       
27    gene_16132          1692.74        0.00e+00       
28    gene_3461           1687.67        0.00e+00       
29    gene_12808          1641.59        0.00e+00       
30    gene_16342          1586.48        0.00e+00       
31    gene_7965           1585.73        0.00e+00       
32    gene_16246          1555.90        0.00e+00       
33    gene_11566          1546.83        0.00e+00       
34    gene_2037           1544.19        0.00e+00       
35    gene_16358          1533.69        0.00e+00       
36    gene_16130          1520.01        0.00e+00       
37    gene_9626           1377.25        0.00e+00       
38    gene_14503          1358.08        0.00e+00       
39    gene_12848          1320.05        0.00e+00       
40    gene_7116           1319.82        0.00e+00       
41    gene_2288           1310.31        0.00e+00       
42    gene_15894          1289.15        0.00e+00       
43    gene_15896          1276.08        0.00e+00       
44    gene_19159          1269.36        0.00e+00       
45    gene_12847          1261.31        0.00e+00       
46    gene_11903          1238.13        0.00e+00       
47    gene_19236          1235.03        0.00e+00       
48    gene_16259          1228.78        0.00e+00       
49    gene_7238           1185.91        0.00e+00       
50    gene_16337          1176.73        0.00e+00       
